Method 1
Diameter;2
Node;Betwenness;Closeness;Transitivity;Shortest path
0;15.023474;0.681818;0.690476;4550.000000
1;11.292517;0.652174;0.674675;2710.000000
2;15.779812;0.693642;0.691542;0.000000
3;51.061154;0.909091;0.636552;0.000000
4;38.486920;0.845070;0.650537;0.000000
5;61.850204;0.975610;0.628647;0.000000
6;16.311511;0.677966;0.623656;0.000000
7;32.767244;0.816327;0.667368;0.000000
8;50.720099;0.909091;0.638110;0.000000
9;47.629687;0.902256;0.645741;0.000000
10;11.980493;0.666667;0.670056;0.000000
11;28.104369;0.750000;0.627532;0.000000
12;53.302717;0.916031;0.628440;0.000000
13;11.156278;0.645161;0.659679;0.000000
14;13.415891;0.714286;0.745305;0.000000
15;10.392436;0.662983;0.699006;0.000000
16;12.774073;0.659341;0.664852;0.000000
17;8.877864;0.648649;0.743434;0.000000
18;33.831781;0.805369;0.641026;0.000000
19;12.456610;0.685714;0.718269;1.000000
20;46.590310;0.895522;0.648158;0.000000
21;37.220333;0.821918;0.635553;0.000000
22;36.949797;0.839161;0.657002;0.000000
23;27.044392;0.774194;0.680672;0.000000
24;28.844691;0.769231;0.642283;0.000000
25;17.048783;0.714286;0.697966;1.000000
26;9.240819;0.670391;0.763388;0.000000
27;33.488271;0.794702;0.640449;0.000000
28;30.759231;0.800000;0.675905;0.000000
29;9.209540;0.652174;0.720779;-42399784240071962649579154064498688753414046359840493835124512952875129405301787141667143776057601474942963080313228370657072424891724204491611177629791394289735234047517137179977379838763121481039530270784351333783463283899500221248587970843615378352906392613465863979180620509400185316573184.000000
30;13.897869;0.677966;0.691244;0.000000
31;26.574701;0.745342;0.631613;0.000000
32;15.647193;0.689655;0.677855;12.000000
33;35.708302;0.839161;0.673110;1.000000
34;8.620142;0.652174;0.738961;0.000000
35;24.551196;0.784314;0.693932;0.000000
36;12.597278;0.677966;0.701485;0.000000
37;21.970785;0.759494;0.685035;9010572224609942083042498825671043352830469250158299162040229320492427741262536402694211436136270272243068646775411517762502159530759788160362144180809617085521604757159785202318297624398064586839275584415024550896300195840.000000
38;8.087735;0.645161;0.722572;-9561072704922288604853217326880081892344713954603991283030636161980202650566689664797641511814369408695665887235969292453670468846208760127304556373020493582475311439460555753866217161474661953830912.000000
39;43.771417;0.869565;0.651330;0.000000
40;19.412219;0.693642;0.622343;17.000000
41;18.075588;0.722892;0.681599;1.000000
42;20.352643;0.736196;0.673616;0.000000
43;14.581915;0.693642;0.689281;0.000000
44;20.277656;0.722892;0.659015;0.000000
45;16.240931;0.693642;0.677974;0.000000
46;10.523863;0.674157;0.735590;0.000000
47;22.751900;0.722892;0.634580;-48098754606560804864.000000
48;15.126408;0.697674;0.678665;-0.000000
49;31.838846;0.805369;0.660073;0.000000
50;32.685204;0.800000;0.639700;22.000000
51;26.424606;0.750000;0.640506;1.000000
52;12.331867;0.666667;0.685876;23.000000
53;53.600404;0.937500;0.637870;1.000000
54;19.314108;0.727273;0.678559;0.000000
55;25.577052;0.740741;0.637030;0.000000
56;13.055559;0.685714;0.709615;0.000000
57;29.316036;0.769231;0.640275;-0.000005
58;18.764642;0.701754;0.644501;0.000000
59;62.975206;0.975610;0.622753;-93400493312564369668141597343040897296563899880698745767293472870708019200.000000
60;11.804457;0.662983;0.679719;0.000000
61;26.370947;0.784314;0.692863;0.000000
62;14.169926;0.685714;0.697115;484278216093388674804589630334877130265984590140372338225698836857681152646849393376482175395748148268580139865732555195850690961901722490709591686356082746948695275283152896.000000
63;35.671372;0.839161;0.666667;1721813725472381538404523515022851009149999983861569184712807314009531457375540562198086072719102509457423037184730286737771488136664799331959484602047085624343273099674020893171908608.000000
64;21.407529;0.759494;0.711232;-0.000000
