Method 1
Diameter;2
Assortativity;-0.161109
Node;Betwenness;Closeness;Transitivity
0;17.816832;0.765027;0.733033
1;37.749425;0.958904;0.721580
2;19.274976;0.782123;0.740396
3;24.825573;0.853659;0.754123
4;40.442423;0.985915;0.719348
5;8.395843;0.689655;0.791524
6;13.313324;0.696517;0.724440
7;22.577866;0.804598;0.726864
8;42.673863;1.000000;0.714800
9;15.193029;0.707071;0.697983
10;21.709774;0.823529;0.752294
11;18.088540;0.744681;0.723602
12;29.618553;0.838323;0.698799
13;18.875269;0.760870;0.721272
14;13.980935;0.686275;0.675439
15;18.872264;0.765027;0.724442
16;39.410318;0.972222;0.718736
17;36.467748;0.945946;0.722068
18;24.379329;0.823529;0.725938
19;11.414297;0.748663;0.816503
20;19.690329;0.786517;0.736750
21;41.525145;0.992908;0.717026
22;13.712679;0.707071;0.728094
23;14.145854;0.748663;0.769051
24;9.833385;0.732984;0.818693
25;12.964012;0.725389;0.754611
26;10.471308;0.714286;0.779690
27;19.882407;0.804598;0.758131
28;15.576429;0.760870;0.767544
29;41.152256;0.985915;0.716175
30;10.420077;0.725389;0.804598
31;29.133124;0.897436;0.741149
32;21.460429;0.800000;0.741209
33;8.620308;0.689655;0.802119
34;10.149595;0.700000;0.773101
35;18.228000;0.777778;0.756162
36;24.260275;0.828402;0.730549
37;24.646643;0.858896;0.754642
38;38.736889;0.972222;0.722004
39;39.047271;0.972222;0.720588
40;8.058880;0.693069;0.807859
41;41.371847;0.979021;0.710820
42;33.462123;0.927152;0.727955
43;9.646586;0.707071;0.784703
44;27.188659;0.848485;0.723875
45;9.942088;0.703518;0.785802
46;32.582890;0.915033;0.730159
47;11.633375;0.714286;0.765060
48;11.592255;0.732984;0.786261
49;9.312143;0.682927;0.760721
50;10.903942;0.710660;0.774023
51;8.127338;0.686275;0.788772
52;30.103629;0.875000;0.721148
53;9.988416;0.707071;0.780488
54;12.346820;0.729167;0.774817
55;33.445113;0.927152;0.728440
56;14.080250;0.729167;0.749478
57;19.286077;0.769231;0.725226
58;24.276475;0.843373;0.747244
59;40.370409;0.985915;0.719454
60;18.690834;0.773481;0.734694
61;28.339588;0.875000;0.734734
62;17.034542;0.756757;0.735050
63;9.829613;0.707071;0.794038
64;13.271526;0.732984;0.760215
65;10.784287;0.693069;0.755245
66;15.855760;0.769231;0.768146
67;33.706631;0.933333;0.729278
68;9.138686;0.696517;0.781564
69;10.066550;0.710660;0.794593
70;7.711312;0.700000;0.825000
71;12.529545;0.693069;0.710956
72;13.974853;0.736842;0.757054
73;21.605580;0.800000;0.739377
74;28.119941;0.880503;0.745041
75;6.298643;0.682927;0.833514
76;9.259137;0.693069;0.773560
77;33.673552;0.927152;0.728803
78;30.561425;0.915033;0.744282
79;25.661348;0.843373;0.731408
80;6.523350;0.686275;0.832632
81;30.788781;0.875000;0.719608
82;25.989693;0.838323;0.727244
83;9.194909;0.693069;0.776890
84;14.419597;0.740741;0.753602
85;33.484756;0.915033;0.722535
86;11.299780;0.700000;0.742722
87;11.543735;0.714286;0.768789
88;12.793520;0.717949;0.748739
89;36.460302;0.945946;0.723572
90;21.461718;0.809249;0.740610
91;20.846448;0.800000;0.735348
92;29.321903;0.886076;0.734182
93;41.801292;0.992908;0.716088
94;8.973227;0.707071;0.815718
95;13.838098;0.732984;0.756129
96;8.576891;0.682927;0.779099
97;12.281072;0.725389;0.767709
98;21.224235;0.790960;0.726061
99;35.420025;0.945946;0.727504
100;18.139495;0.800000;0.768498
101;13.130495;0.725389;0.753275
102;6.372018;0.700000;0.855696
103;5.773570;0.686275;0.860000
104;13.572595;0.732984;0.755873
105;10.200347;0.707071;0.778380
106;9.915239;0.689655;0.758715
107;10.244109;0.714286;0.793746
108;22.006021;0.813953;0.742645
109;12.650185;0.725389;0.759690
110;12.736871;0.725389;0.758353
111;8.879506;0.703518;0.810494
112;17.180858;0.760870;0.738596
113;39.462260;0.972222;0.719063
114;33.903815;0.933333;0.734884
115;24.084053;0.853659;0.760720
116;17.685722;0.773481;0.752216
117;12.255600;0.729167;0.772727
118;10.080348;0.700000;0.775000
119;13.942921;0.714286;0.725760
120;28.385830;0.880503;0.736226
121;39.076781;0.972222;0.720588
122;42.075426;0.992908;0.714837
123;19.825344;0.790960;0.741100
124;11.007935;0.707071;0.760012
125;9.278337;0.696517;0.780915
126;13.038002;0.736842;0.774532
127;15.190397;0.777778;0.792323
128;29.895458;0.903226;0.738194
129;10.207054;0.689655;0.755639
130;15.796799;0.769231;0.771723
131;10.374837;0.700000;0.768671
132;35.066500;0.945946;0.727967
133;12.393627;0.714286;0.748422
134;23.081793;0.853659;0.765367
135;15.268724;0.740741;0.742125
136;15.373466;0.765027;0.771263
137;18.195307;0.782123;0.748713
138;16.192971;0.756757;0.745801
139;11.507783;0.707071;0.755194
140;12.739001;0.721649;0.751847

Method 2
Diameter;2
Assortativity;-0.144389
Node;Betwenness;Closeness;Transitivity
0;2.176168;1.000000;0.947261
1;2.119486;0.984375;0.947118
2;2.176168;1.000000;0.947261
3;2.176168;1.000000;0.947261
4;2.176168;1.000000;0.947261
5;0.226847;0.840000;0.989804
6;2.176168;1.000000;0.947261
7;0.247224;0.875000;0.990217
8;2.143382;0.969231;0.944809
9;2.176168;1.000000;0.947261
10;1.671307;0.954545;0.954802
11;2.109775;0.969231;0.945902
12;2.176168;1.000000;0.947261
13;0.246847;0.840000;0.989020
14;0.327663;0.863014;0.986938
15;2.160039;0.984375;0.946060
16;2.176168;1.000000;0.947261
17;2.176168;1.000000;0.947261
18;1.915038;0.984375;0.951877
19;2.176168;1.000000;0.947261
20;2.176168;1.000000;0.947261
21;0.417098;0.863014;0.984035
22;2.126442;0.969231;0.945355
23;2.143108;0.984375;0.946589
24;0.543442;0.900000;0.981818
25;0.247224;0.875000;0.990217
26;2.176168;1.000000;0.947261
27;2.176168;1.000000;0.947261
28;0.396298;0.863014;0.984761
29;0.206831;0.840000;0.990588
30;0.543442;0.900000;0.981818
31;2.126442;0.969231;0.945355
32;0.131703;0.840000;0.993725
33;2.176168;1.000000;0.947261
34;2.176168;1.000000;0.947261
35;0.207993;0.863014;0.991292
36;0.247224;0.875000;0.990217
37;2.143108;0.984375;0.946589
38;2.176168;1.000000;0.947261
39;2.176168;1.000000;0.947261
40;2.176168;1.000000;0.947261
41;0.247224;0.875000;0.990217
42;0.190541;0.863014;0.992017
43;2.109775;0.969231;0.945902
44;2.176168;1.000000;0.947261
45;2.176168;1.000000;0.947261
46;2.176168;1.000000;0.947261
47;2.160039;0.984375;0.946060
48;0.226847;0.840000;0.989804
49;2.143382;0.984375;0.946589
50;0.388088;0.875000;0.985325
51;1.907229;0.984375;0.951877
52;1.688351;0.969231;0.955738
53;2.143382;0.984375;0.946589
54;2.176168;1.000000;0.947261
55;2.176168;1.000000;0.947261
56;2.176168;1.000000;0.947261
57;2.176168;1.000000;0.947261
58;0.349626;0.851351;0.985671
59;1.932418;0.984375;0.951348
60;2.176168;1.000000;0.947261
61;2.176168;1.000000;0.947261
62;1.932418;0.984375;0.951348
63;2.176168;1.000000;0.947261

